SiraNo;KavsakAdi;AkimYonu;Tarih;SaatAraligi;Otomobil;Kamyonet;Taksi;TMinibus;Servis;IETT-Halk;AgirTasit;Toplam;KayitTarihSaat;SayimYapanKisi;Kontrol
146;Sultangazi - 40028;3->2- Sabah;5.5.2017;08:00-08:15;10;12;1;0;7;0;0;30;11.5.2017 14:07;Uður Savaþýr;200934
147;Sultangazi - 40028;3->2- Sabah;5.5.2017;08:15-08:30;14;7;1;0;5;2;0;29;11.5.2017 14:12;Uður Savaþýr;2746098
148;Sultangazi - 40028;3->2- Sabah;5.5.2017;08:30-08:45;10;2;0;0;4;1;0;17;11.5.2017 14:16;Uður Savaþýr;5559174
149;Sultangazi - 40028;3->2- Sabah;5.5.2017;08:45-09:00;14;6;2;0;2;1;0;25;11.5.2017 14:21;Uður Savaþýr;5090328
150;Sultangazi - 40028;3->3- Sabah;5.5.2017;07:00-07:15;0;0;0;0;0;0;0;0;11.5.2017 14:22;Uður Savaþýr;2746098
151;Sultangazi - 40028;3->3- Sabah;5.5.2017;07:15-07:30;0;0;0;0;1;0;0;1;11.5.2017 14:22;Uður Savaþýr;3281922
152;Sultangazi - 40028;3->3- Sabah;5.5.2017;07:30-07:45;0;0;1;0;0;0;0;1;11.5.2017 14:22;Uður Savaþýr;3616812
153;Sultangazi - 40028;3->3- Sabah;5.5.2017;07:45-08:00;1;0;0;0;0;0;0;1;11.5.2017 14:22;Uður Savaþýr;401868
154;Sultangazi - 40028;3->3- Sabah;5.5.2017;08:00-08:15;2;0;0;0;0;0;0;2;11.5.2017 14:22;Uður Savaþýr;4420548
155;Sultangazi - 40028;3->3- Sabah;5.5.2017;08:15-08:30;0;0;0;0;0;0;0;0;11.5.2017 14:22;Uður Savaþýr;4889394
156;Sultangazi - 40028;3->3- Sabah;5.5.2017;08:30-08:45;1;0;0;0;0;0;0;1;11.5.2017 14:22;Uður Savaþýr;5224284
157;Sultangazi - 40028;3->3- Sabah;5.5.2017;08:45-09:00;0;0;0;0;0;0;0;0;11.5.2017 14:22;Uður Savaþýr;5559174
158;Sultangazi - 40028;3->4- Sabah;5.5.2017;07:00-07:15;20;8;0;0;8;1;0;37;11.5.2017 15:05;Uður Savaþýr;401868
159;Sultangazi - 40028;3->4- Sabah;5.5.2017;07:15-07:30;19;7;1;0;10;0;0;37;11.5.2017 15:16;Uður Savaþýr;2746098
160;Sultangazi - 40028;3->4- Sabah;5.5.2017;07:30-07:45;13;7;4;0;12;0;0;36;11.5.2017 15:24;Uður Savaþýr;502335
161;Sultangazi - 40028;3->4- Sabah;5.5.2017;07:45-08:00;13;6;2;0;9;0;0;30;11.5.2017 15:31;Uður Savaþýr;401868
162;Sultangazi - 40028;3->4- Sabah;5.5.2017;08:00-08:15;23;9;0;0;10;0;0;42;11.5.2017 15:40;Uður Savaþýr;368379
163;Sultangazi - 40028;3->4- Sabah;5.5.2017;08:15-08:30;21;3;0;0;4;0;0;28;11.5.2017 15:48;Uður Savaþýr;4889394
164;Sultangazi - 40028;3->4- Sabah;5.5.2017;08:30-08:45;14;6;0;0;6;0;0;26;11.5.2017 15:53;Uður Savaþýr;4822416
165;Sultangazi - 40028;3->4- Sabah;5.5.2017;08:45-09:00;18;8;1;0;1;0;0;28;11.5.2017 15:58;Uður Savaþýr;7769448
1;Sultangazi - 40028;3->5- Sabah;5.5.2017;07:00-07:15;1;0;0;0;1;0;0;2;11.5.2017 13:36;Uður Savaþýr;602802
2;Sultangazi - 40028;3->5- Sabah;5.5.2017;07:15-07:30;0;0;0;0;1;0;0;1;11.5.2017 13:46;Uður Savaþýr;5626152
3;Sultangazi - 40028;3->5- Sabah;5.5.2017;07:30-07:45;0;0;0;0;0;0;0;0;11.5.2017 13:53;Uður Savaþýr;8305272
4;Sultangazi - 40028;3->5- Sabah;5.5.2017;07:45-08:00;0;0;0;0;0;0;0;0;11.5.2017 13:59;Uður Savaþýr;4889394
5;Sultangazi - 40028;3->5- Sabah;5.5.2017;08:00-08:15;0;0;0;0;0;0;0;0;11.5.2017 14:07;Uður Savaþýr;2277252
6;Sultangazi - 40028;3->5- Sabah;5.5.2017;08:15-08:30;0;0;0;0;0;0;0;0;11.5.2017 14:12;Uður Savaþýr;301401
7;Sultangazi - 40028;3->5- Sabah;5.5.2017;08:30-08:45;0;0;0;0;0;0;0;0;11.5.2017 14:16;Uður Savaþýr;5894064
8;Sultangazi - 40028;3->5- Sabah;5.5.2017;08:45-09:00;0;0;0;0;0;0;0;0;11.5.2017 14:23;Uður Savaþýr;4554504
198;Sultangazi - 40028;4->2- Sabah;5.5.2017;07:00-07:15;12;6;1;7;13;3;0;42;12.5.2017 09:21;Uður Savaþýr;5425218
199;Sultangazi - 40028;4->2- Sabah;5.5.2017;07:15-07:30;15;1;0;6;15;2;0;39;12.5.2017 09:27;Uður Savaþýr;4286592
200;Sultangazi - 40028;4->2- Sabah;5.5.2017;07:30-07:45;12;6;3;8;17;4;0;50;12.5.2017 09:33;Uður Savaþýr;3415878
201;Sultangazi - 40028;4->2- Sabah;5.5.2017;07:45-08:00;19;2;0;9;15;5;0;50;12.5.2017 09:40;Uður Savaþýr;3281922
202;Sultangazi - 40028;4->2- Sabah;5.5.2017;08:00-08:15;18;10;2;7;11;3;0;51;12.5.2017 09:51;Uður Savaþýr;602802
203;Sultangazi - 40028;4->2- Sabah;5.5.2017;08:15-08:30;17;5;0;8;3;4;0;37;12.5.2017 09:57;Uður Savaþýr;7233624
204;Sultangazi - 40028;4->2- Sabah;5.5.2017;08:30-08:45;16;6;1;10;4;9;1;47;12.5.2017 10:02;Uður Savaþýr;2746098
205;Sultangazi - 40028;4->2- Sabah;5.5.2017;08:45-09:00;20;6;2;8;4;4;0;44;12.5.2017 10:10;Uður Savaþýr;4420548
1;Sultangazi - 40028;4->3- Sabah;5.5.2017;07:00-07:15;7;7;0;0;11;0;0;25;12.5.2017 10:23;Uður Savaþýr;569313
2;Sultangazi - 40028;4->3- Sabah;5.5.2017;07:15-07:30;19;1;0;0;12;0;0;32;12.5.2017 10:34;Uður Savaþýr;6228954
3;Sultangazi - 40028;4->3- Sabah;5.5.2017;07:30-07:45;21;10;3;0;10;0;1;45;12.5.2017 10:43;Uður Savaþýr;6496866
4;Sultangazi - 40028;4->3- Sabah;5.5.2017;07:45-08:00;30;5;2;0;5;0;1;43;12.5.2017 10:53;Uður Savaþýr;6764778
5;Sultangazi - 40028;4->3- Sabah;5.5.2017;08:00-08:15;20;5;1;0;6;0;0;32;12.5.2017 11:00;Uður Savaþýr;3147966
6;Sultangazi - 40028;4->3- Sabah;5.5.2017;08:15-08:30;19;13;2;0;8;0;0;42;12.5.2017 11:10;Uður Savaþýr;1875384
7;Sultangazi - 40028;4->3- Sabah;5.5.2017;08:30-08:45;13;4;1;0;5;0;0;23;12.5.2017 11:16;Uður Savaþýr;200934
8;Sultangazi - 40028;4->3- Sabah;5.5.2017;08:45-09:00;14;6;2;0;3;0;0;25;12.5.2017 11:24;Uður Savaþýr;2411208
1;Sultangazi - 40028;4->1- Sabah;5.5.2017;07:00-07:15;5;1;1;0;4;0;0;11;12.5.2017 10:23;Uður Savaþýr;5425218
2;Sultangazi - 40028;4->1- Sabah;5.5.2017;07:15-07:30;4;0;1;0;2;0;0;7;12.5.2017 10:34;Uður Savaþýr;5827086
3;Sultangazi - 40028;4->1- Sabah;5.5.2017;07:30-07:45;6;1;1;0;1;0;0;9;12.5.2017 10:43;Uður Savaþýr;6228954
4;Sultangazi - 40028;4->1- Sabah;5.5.2017;07:45-08:00;4;0;0;0;0;0;0;4;12.5.2017 10:53;Uður Savaþýr;6563844
5;Sultangazi - 40028;4->1- Sabah;5.5.2017;08:00-08:15;9;1;0;0;0;0;0;10;12.5.2017 11:00;Uður Savaþýr;2947032
6;Sultangazi - 40028;4->1- Sabah;5.5.2017;08:15-08:30;1;3;1;0;0;0;1;6;12.5.2017 11:10;Uður Savaþýr;1607472
7;Sultangazi - 40028;4->1- Sabah;5.5.2017;08:30-08:45;2;3;0;0;0;0;0;5;12.5.2017 11:15;Uður Savaþýr;569313
8;Sultangazi - 40028;4->1- Sabah;5.5.2017;08:45-09:00;5;6;1;0;2;0;0;14;12.5.2017 11:23;Uður Savaþýr;5425218
206;Sultangazi - 40028;5->2- Sabah;5.5.2017;07:00-07:15;4;0;1;0;0;0;1;6;12.5.2017 14:00;Uður Savaþýr;3415878
207;Sultangazi - 40028;5->2- Sabah;5.5.2017;07:15-07:30;6;3;0;0;2;0;0;11;12.5.2017 14:04;Uður Savaþýr;2277252
208;Sultangazi - 40028;5->2- Sabah;5.5.2017;07:30-07:45;8;3;1;0;1;0;0;13;12.5.2017 14:07;Uður Savaþýr;3884724
209;Sultangazi - 40028;5->2- Sabah;5.5.2017;07:45-08:00;2;3;0;0;3;0;0;8;12.5.2017 14:11;Uður Savaþýr;4487526
210;Sultangazi - 40028;5->2- Sabah;5.5.2017;08:00-08:15;4;1;0;0;1;0;0;6;12.5.2017 14:14;Uður Savaþýr;5425218
211;Sultangazi - 40028;5->2- Sabah;5.5.2017;08:15-08:30;1;1;0;0;0;0;0;2;12.5.2017 14:18;Uður Savaþýr;4286592
212;Sultangazi - 40028;5->2- Sabah;5.5.2017;08:30-08:45;5;1;0;0;0;0;0;6;12.5.2017 14:22;Uður Savaþýr;3147966
213;Sultangazi - 40028;5->2- Sabah;5.5.2017;08:45-09:00;5;0;0;0;0;0;0;5;12.5.2017 14:25;Uður Savaþýr;4621482
214;Sultangazi - 40028;5->1- Sabah;5.5.2017;07:00-07:15;10;4;0;0;2;0;0;16;12.5.2017 14:31;Uður Savaþýr;4822416
215;Sultangazi - 40028;5->1- Sabah;5.5.2017;07:15-07:30;11;1;0;0;0;0;0;12;12.5.2017 14:35;Uður Savaþýr;6228954
216;Sultangazi - 40028;5->1- Sabah;5.5.2017;07:30-07:45;11;1;0;0;1;0;0;13;12.5.2017 14:40;Uður Savaþýr;5492196
217;Sultangazi - 40028;5->1- Sabah;5.5.2017;07:45-08:00;6;1;1;0;2;0;0;10;12.5.2017 15:09;Uður Savaþýr;1741428
218;Sultangazi - 40028;5->1- Sabah;5.5.2017;08:00-08:15;11;1;0;0;0;0;0;12;12.5.2017 15:13;Uður Savaþýr;1875384
219;Sultangazi - 40028;5->1- Sabah;5.5.2017;08:15-08:30;13;5;0;0;1;0;0;19;12.5.2017 15:17;Uður Savaþýr;5425218
220;Sultangazi - 40028;5->1- Sabah;5.5.2017;08:30-08:45;7;6;0;0;0;0;0;13;12.5.2017 15:25;Uður Savaþýr;3750768
221;Sultangazi - 40028;5->1- Sabah;5.5.2017;08:45-09:00;9;1;0;0;2;0;0;12;12.5.2017 15:29;Uður Savaþýr;3482856
222;Sultangazi - 40028;5->3- Sabah;5.5.2017;07:00-07:15;9;4;0;0;2;0;0;15;12.5.2017 15:40;Uður Savaþýr;4085658
223;Sultangazi - 40028;5->3- Sabah;5.5.2017;07:15-07:30;5;5;0;0;1;0;0;11;12.5.2017 15:43;Uður Savaþýr;7501536
224;Sultangazi - 40028;5->3- Sabah;5.5.2017;07:30-07:45;13;2;0;0;1;0;0;16;12.5.2017 15:49;Uður Savaþýr;6429888
225;Sultangazi - 40028;5->3- Sabah;5.5.2017;07:45-08:00;15;2;0;0;2;0;1;20;12.5.2017 15:55;Uður Savaþýr;5626152
226;Sultangazi - 40028;5->3- Sabah;5.5.2017;08:00-08:15;7;2;0;0;2;0;0;11;12.5.2017 16:00;Uður Savaþýr;4420548
227;Sultangazi - 40028;5->3- Sabah;5.5.2017;08:15-08:30;9;0;0;0;0;0;0;9;12.5.2017 16:04;Uður Savaþýr;3549834
228;Sultangazi - 40028;5->3- Sabah;5.5.2017;08:30-08:45;5;6;0;0;0;0;0;11;12.5.2017 16:08;Uður Savaþýr;2612142
229;Sultangazi - 40028;5->3- Sabah;5.5.2017;08:45-09:00;5;1;0;0;1;0;0;7;12.5.2017 16:37;Uður Savaþýr;6764778
1;Sultangazi-40028;2->1;5.5.2017;17:00-17:15;39;12;5;0;8;1;0;65;12.5.2017 15:45;Arif;4755438
2;Sultangazi-40028;2->1;5.5.2017;17:15-17:30;32;9;3;1;9;0;1;55;12.5.2017 16:43;Arif;4956372
3;Sultangazi-40028;2->1;5.5.2017;17:30-17:45;57;16;6;0;6;0;1;86;15.5.2017 10:41;Arif;3482856
4;Sultangazi-40028;2->1;5.5.2017;17:45-18:00;36;17;6;0;8;0;1;68;15.5.2017 10:59;Arif;6161976
5;Sultangazi-40028;2->1;5.5.2017;18:00-18:15;45;13;10;0;8;0;1;77;15.5.2017 11:05;Arif;1138626
6;Sultangazi-40028;2->1;5.5.2017;18:15-18:30;58;14;11;0;5;0;1;89;15.5.2017 11:18;Arif;4956372
7;Sultangazi-40028;2->1;5.5.2017;18:30-18:45;48;18;8;0;9;0;0;83;15.5.2017 11:24;Arif;4487526
8;Sultangazi-40028;2->1;5.5.2017;18:45-19:00;46;11;7;0;12;0;0;76;15.5.2017 11:31;Arif;535824
9;Sultangazi-40028;2->4;5.5.2017;17:00-17:15;26;5;3;7;2;7;0;50;15.5.2017 12:01;Arif;4755438
10;Sultangazi-40028;2->4;5.5.2017;17:15-17:30;13;9;1;8;4;8;1;44;15.5.2017 13:03;Arif;1540494
11;Sultangazi-40028;2->4;5.5.2017;17:30-17:45;41;2;3;9;4;6;0;65;15.5.2017 13:13;Arif;3549834
12;Sultangazi-40028;2->4;5.5.2017;17:45-18:00;30;6;5;9;5;6;0;61;15.5.2017 13:18;Arif;3147966
13;Sultangazi-40028;2->4;5.5.2017;18:00-18:15;26;9;2;8;7;4;0;56;15.5.2017 13:42;Arif;602802
14;Sultangazi-40028;2->4;5.5.2017;18:15-18:30;24;12;3;9;2;4;0;54;15.5.2017 13:48;Arif;6161976
15;Sultangazi-40028;2->4;5.5.2017;18:30-18:45;31;7;2;5;5;9;1;60;15.5.2017 13:57;Arif;5894064
16;Sultangazi-40028;2->4;5.5.2017;18:45-19:00;27;3;1;8;6;4;0;49;15.5.2017 14:10;Arif;2612142
1;Sultangazi-40028;2->6;5.5.2017;17:00-17:15;1;0;0;0;2;0;0;3;15.5.2017 11:59;MHD Amir;7568514
1;Sultangazi-40028;2->5;5.5.2017;17:00-17:15;2;1;0;0;0;0;0;3;15.5.2017 11:59;MHD Amir;770247
2;Sultangazi-40028;2->6;5.5.2017;17:15-17:30;2;0;0;0;0;0;0;2;15.5.2017 13:08;MHD Amir;4152636
2;Sultangazi-40028;2->5;5.5.2017;17:15-17:30;0;1;0;0;0;0;0;1;15.5.2017 13:08;MHD Amir;4219614
3;Sultangazi-40028;2->6;5.5.2017;17:30-17:45;1;0;0;0;0;0;0;1;15.5.2017 13:24;MHD Amir;2612142
3;Sultangazi-40028;2->5;5.5.2017;17:30-17:45;2;0;0;0;0;0;0;2;15.5.2017 13:24;MHD Amir;267912
4;Sultangazi-40028;2->6;5.5.2017;17:45-18:00;1;1;0;0;0;0;0;2;15.5.2017 13:45;MHD Amir;569313
4;Sultangazi-40028;2->5;5.5.2017;17:45-18:00;1;0;0;0;0;0;0;1;15.5.2017 13:45;MHD Amir;5827086
5;Sultangazi-40028;2->6;5.5.2017;18:00-18:15;1;0;0;0;0;0;0;1;15.5.2017 14:03;MHD Amir;4621482
5;Sultangazi-40028;2->5;5.5.2017;18:00-18:15;3;0;0;0;0;0;0;3;15.5.2017 14:03;MHD Amir;4755438
6;Sultangazi-40028;2->6;5.5.2017;18:15-18:30;1;1;1;0;0;0;0;3;15.5.2017 14:21;MHD Amir;602802
6;Sultangazi-40028;2->5;5.5.2017;18:15-18:30;3;0;0;0;0;0;0;3;15.5.2017 14:21;MHD Amir;6161976
7;Sultangazi-40028;2->6;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;15.5.2017 14:31;MHD Amir;6563844
7;Sultangazi-40028;2->5;5.5.2017;18:30-18:45;2;0;0;0;0;0;0;2;15.5.2017 14:31;MHD Amir;6965712
8;Sultangazi-40028;2->6;5.5.2017;18:45-19:00;1;0;0;0;0;0;0;1;15.5.2017 14:40;MHD Amir;7434558
8;Sultangazi-40028;2->5;5.5.2017;18:45-19:00;1;0;0;0;0;0;0;1;15.5.2017 14:40;MHD Amir;7501536
1;Sultangazi-40028;3->6;5.5.2017;17:00-17:15;1;0;0;0;0;0;0;1;12.5.2017 14:39;MHD Amir;6429888
1;Sultangazi-40028;3->1;5.5.2017;17:00-17:15;12;0;1;0;3;0;1;17;12.5.2017 14:39;MHD Amir;6496866
1;Sultangazi-40028;3->4;5.5.2017;17:00-17:15;20;9;0;0;0;0;1;30;12.5.2017 14:39;MHD Amir;6563844
2;Sultangazi-40028;3->6;5.5.2017;17:15-17:30;1;1;0;0;0;0;0;2;12.5.2017 15:40;MHD Amir;4755438
2;Sultangazi-40028;3->1;5.5.2017;17:15-17:30;17;6;2;0;3;0;0;28;12.5.2017 15:40;MHD Amir;4822416
2;Sultangazi-40028;3->4;5.5.2017;17:15-17:30;20;9;4;0;1;0;0;34;12.5.2017 15:40;MHD Amir;4889394
3;Sultangazi-40028;3->6;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;12.5.2017 15:47;MHD Amir;6496866
3;Sultangazi-40028;3->1;5.5.2017;17:30-17:45;15;3;2;0;6;0;0;26;12.5.2017 15:47;MHD Amir;6563844
3;Sultangazi-40028;3->4;5.5.2017;17:30-17:45;11;6;1;0;4;0;0;22;12.5.2017 15:47;MHD Amir;6630822
4;Sultangazi-40028;3->6;5.5.2017;17:45-18:00;0;0;0;0;1;0;0;1;12.5.2017 15:56;MHD Amir;7635492
4;Sultangazi-40028;3->1;5.5.2017;17:45-18:00;19;2;0;0;7;0;1;29;12.5.2017 15:56;MHD Amir;7769448
4;Sultangazi-40028;3->4;5.5.2017;17:45-18:00;19;6;2;0;4;0;0;31;12.5.2017 15:56;MHD Amir;7836426
5;Sultangazi-40028;3->6;5.5.2017;18:00-18:15;3;0;0;0;0;0;0;3;12.5.2017 16:07;MHD Amir;4822416
5;Sultangazi-40028;3->1;5.5.2017;18:00-18:15;21;7;1;0;1;0;0;30;12.5.2017 16:07;MHD Amir;4822416
5;Sultangazi-40028;3->4;5.5.2017;18:00-18:15;31;8;3;0;6;0;0;48;12.5.2017 16:07;MH D Amir;535824
6;Sultangazi-40028;3->6;5.5.2017;18:15-18:30;1;0;0;0;1;0;0;2;12.5.2017 16:18;MHD Amir;4219614
6;Sultangazi-40028;3->1;5.5.2017;18:15-18:30;14;2;3;0;1;0;0;20;12.5.2017 16:18;MHD Amir;4286592
6;Sultangazi-40028;3->4;5.5.2017;18:15-18:30;24;10;1;0;4;0;0;39;12.5.2017 16:18;MH D Amir;435357
7;Sultangazi-40028;3->6;5.5.2017;18:30-18:45;1;0;0;0;0;0;0;1;12.5.2017 16:32;MHD Amir;334,89
7;Sultangazi-40028;3->1;5.5.2017;18:30-18:45;28;2;1;0;4;0;0;35;12.5.2017 16:32;MHD Amir;3415878
7;Sultangazi-40028;3->4;5.5.2017;18:30-18:45;26;8;1;0;4;0;0;39;12.5.2017 16:32;MH D Amir;3482856
8;Sultangazi-40028;3->6;5.5.2017;18:45-19:00;2;0;0;0;0;0;0;2;12.5.2017 16:49;MHD Amir;468846
8;Sultangazi-40028;3->1;5.5.2017;18:45-19:00;21;7;3;0;7;0;0;38;12.5.2017 16:49;MHD Amir;4755438
8;Sultangazi-40028;3->4;5.5.2017;18:45-19:00;32;4;2;0;5;0;0;43;12.5.2017 16:49;MH D Amir;4822416
28;Sultangazi-40028;3->5;5.5.2017;17:00-17:15;2;1;0;0;1;0;0;4;15.5.2017 09:43;MH D Amir;5894064
28;Sultangazi-40028;3->2;5.5.2017;17:00-17:15;15;10;3;0;3;0;2;33;15.5.2017 09:43;MH D Amir;5961042
32;Sultangazi-40028;3->3;5.5.2017;17:00-17:15;0;0;0;0;0;0;0;0;15.5.2017 09:51;MH D Amir;569313
29;Sultangazi-40028;3->5;5.5.2017;17:15-17:30;0;1;0;0;0;0;0;1;15.5.2017 10:00;MH D Amir;1138626
29;Sultangazi-40028;3->2;5.5.2017;17:15-17:30;23;3;1;0;2;1;1;31;15.5.2017 10:00;MH D Amir;1205604
33;Sultangazi-40028;3->3;5.5.2017;17:15-17:30;0;0;0;0;1;0;0;1;15.5.2017 10:00;MH D Amir;1808406
30;Sultangazi-40028;3->5;5.5.2017;17:30-17:45;1;1;0;0;0;0;0;2;15.5.2017 10:17;MH D Amir;2411208
30;Sultangazi-40028;3->2;5.5.2017;17:30-17:45;15;7;0;0;1;0;1;24;15.5.2017 10:17;MH D Amir;2545164
34;Sultangazi-40028;3->3;5.5.2017;17:30-17:45;1;0;0;0;0;0;0;1;15.5.2017 10:17;MH D Amir;2612142
31;Sultangazi-40028;3->5;5.5.2017;17:45-18:00;1;0;0;0;1;0;0;2;15.5.2017 10:30;MH D Amir;6295932
31;Sultangazi-40028;3->2;5.5.2017;17:45-18:00;20;10;0;0;1;0;0;31;15.5.2017 10:30;MH D Amir;636291
35;Sultangazi-40028;3->3;5.5.2017;17:45-18:00;1;0;0;0;0;0;0;1;15.5.2017 10:30;MH D Amir;6496866
32;Sultangazi-40028;3->5;5.5.2017;18:00-18:15;3;1;0;0;0;0;0;4;15.5.2017 10:56;MH D Amir;8171316
32;Sultangazi-40028;3->2;5.5.2017;18:00-18:15;18;3;2;0;5;1;0;29;15.5.2017 10:56;MH D Amir;8238294
36;Sultangazi-40028;3->3;5.5.2017;18:00-18:15;2;0;0;0;0;0;0;2;15.5.2017 10:56;MH D Amir;837225
33;Sultangazi-40028;3->5;5.5.2017;18:15-18:30;1;0;0;0;0;0;0;1;15.5.2017 11:03;MH D Amir;3817746
33;Sultangazi-40028;3->2;5.5.2017;18:15-18:30;16;3;1;0;4;1;1;26;15.5.2017 11:03;MH D Amir;3817746
37;Sultangazi-40028;3->3;5.5.2017;18:15-18:30;3;0;0;0;0;0;0;3;15.5.2017 11:03;MH D Amir;3951702
34;Sultangazi-40028;3->5;5.5.2017;18:30-18:45;3;0;0;0;1;0;0;4;15.5.2017 11:14;MH D Amir;368379
34;Sultangazi-40028;3->2;5.5.2017;18:30-18:45;21;2;1;1;2;1;0;28;15.5.2017 11:14;MH D Amir;3750768
38;Sultangazi-40028;3->3;5.5.2017;18:30-18:45;1;0;0;0;0;0;0;1;15.5.2017 11:14;MH D Amir;3817746
35;Sultangazi-40028;3->5;5.5.2017;18:45-19:00;1;0;0;0;1;0;0;2;15.5.2017 11:26;MH D Amir;3884724
35;Sultangazi-40028;3->2;5.5.2017;18:45-19:00;16;4;1;0;4;0;0;25;15.5.2017 11:26;MH D Amir;3884724
39;Sultangazi-40028;3->3;5.5.2017;18:45-19:00;1;0;1;0;0;0;0;2;15.5.2017 11:26;MH D Amir;401868
1;Sultangazi-40028-Akþam;6->1;5.5.2017;17:00-17:15;0;0;0;0;0;0;0;0;11.5.2017 09:52;Selman;535824
2;Sultangazi-40028-Akþam;6->1;5.5.2017;17:15-17:30;0;0;1;0;0;0;0;1;11.5.2017 10:07;Selman;200934
3;Sultangazi-40028-Akþam;6->1;5.5.2017;17:30-17:45;0;0;0;0;0;0;0;0;11.5.2017 10:17;Selman;4219614
4;Sultangazi-40028-Akþam;6->1;5.5.2017;17:45-18:00;0;1;0;0;0;0;0;1;11.5.2017 10:29;Selman;3951702
5;Sultangazi-40028-Akþam;6->1;5.5.2017;18:00-18:15;1;0;0;0;0;0;0;1;11.5.2017 10:35;Selman;401868
6;Sultangazi-40028-Akþam;6->1;5.5.2017;18:15-18:30;0;0;0;0;0;0;0;0;11.5.2017 10:53;Selman;6295932
7;Sultangazi-40028-Akþam;6->1;5.5.2017;18:30-18:45;0;0;0;0;0;0;0;0;11.5.2017 11:17;Selman;1875384
8;Sultangazi-40028-Akþam;6->1;5.5.2017;18:45-19:00;0;0;0;0;0;0;0;0;11.5.2017 11:32;Selman;5827086
9;Sultangazi-40028-Akþam;5->2;5.5.2017;17:00-17:15;10;1;0;0;0;0;0;11;11.5.2017 12:56;Selman;6161976
10;Sultangazi-40028-Akþam;5->2;5.5.2017;17:15-17:30;3;2;0;0;1;0;1;7;11.5.2017 13:15;Selman;5827086
11;Sultangazi-40028-Akþam;5->2;5.5.2017;17:30-17:45;8;2;0;0;0;0;0;10;11.5.2017 13:20;Selman;267912
12;Sultangazi-40028-Akþam;5->2;5.5.2017;17:45-18:00;2;2;1;0;1;0;0;6;11.5.2017 13:24;Selman;2813076
13;Sultangazi-40028-Akþam;5->2;5.5.2017;18:00-18:15;9;1;0;0;1;0;0;11;11.5.2017 13:33;Selman;6563844
